"","ds.ID","ds.agreementfinal","ds.share_type","ds.Q1a","ds.Q1b_1","ds.Q1b_2","ds.Q1b_3","ds.Q1b_4","ds.Q1b_5","ds.Q1b_6","ds.Q1b_7","ds.Q1c","ds.Q1d","ds.Q1e_1","ds.Q1e_2","ds.Q1e_3","ds.Q1f","ds.Q1g_1","ds.Q1g_2","ds.Q1g_3","ds.Q1g_4","ds.Q1g_5","ds.Q1g_6","ds.Q1g_7","ds.Q1g_8","ds.Q1h","ds.Q1i","ds.Q5a","ds.Q5b","ds.Q5c","ds.Q5d_1","ds.Q5d_2","ds.Q5d_3","ds.Q5d_4","ds.Q5d_5","ds.Q5d_6","ds.Q5d_7","ds.Q5d_8","ds.Q5d_9","ds.Q5d_10","ds.Q5d_11","ds.Q5d_12"
"1",1,0,3,1,NA,NA,NA,NA,NA,NA,1,1,6,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,2,6,6,2,5,5,6,4,6,6,3,5,6
"2",2,1,1,1,NA,NA,NA,NA,NA,NA,1,1,10,3,1,1,1,1,NA,1,1,NA,1,NA,NA,1,2,3,1,1,5,4,5,3,3,2,3,3,3,3,4,5
"3",3,1,2,1,NA,NA,NA,NA,NA,NA,1,1,10,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,2,1,2,2,1,6,5,6,2,1,4,6,2,4,2,4,3
"4",4,1,2,1,NA,NA,NA,1,NA,1,NA,1,8,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,2,3,2,1,6,3,4,2,4,1,4,2,4,1,2,2
"5",5,1,3,5,NA,1,NA,1,NA,NA,NA,1,6,1,2,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,1,3,5,4,4,2,1,3,5,2,2,2,4,4
"6",6,1,2,6,NA,1,NA,NA,NA,NA,NA,1,6,3,1,3,1,NA,1,NA,1,1,1,1,1,1,1,4,4,1,6,3,6,5,2,4,6,5,2,2,3,4
"7",7,0,3,1,NA,NA,NA,NA,NA,NA,1,1,14,2,1,3,1,1,1,1,1,NA,NA,1,1,2,1,1,1,2,3,6,1,4,6,1,2,6,4,3,5,3
"8",8,0,1,2,NA,NA,NA,NA,NA,NA,1,1,15,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,2,2,1,3,6,4,2,4,2,5,5,4,5,4,4,1
"9",9,1,2,1,NA,NA,NA,1,1,NA,NA,1,6,1,1,1,1,NA,1,NA,1,NA,NA,1,NA,1,2,2,3,3,4,2,4,3,1,4,4,4,4,5,4,5
"10",10,1,2,1,NA,NA,NA,NA,1,NA,NA,1,14,2,3,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,3,2,1,6,2,6,2,1,2,5,3,2,1,5,4
"11",11,0,1,1,NA,NA,NA,NA,1,NA,NA,1,2,1,3,1,1,NA,1,1,NA,NA,NA,NA,NA,2,1,2,1,2,5,2,2,5,1,4,4,3,3,3,3,3
"12",12,1,2,2,1,NA,NA,NA,NA,NA,NA,1,3,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,4,3,1,6,4,4,2,5,5,6,2,1,3,5,5
"13",13,1,2,1,NA,NA,NA,NA,NA,NA,1,4,4,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,2,2,2,2,3,4,5,4,3,6,4,6,1,6,1,4,4
"14",14,1,3,1,NA,NA,NA,NA,NA,NA,1,1,3,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,1,1,2,6,5,6,1,2,5,6,1,3,1,3,4
"15",15,0,3,1,NA,NA,NA,NA,NA,NA,1,3,2,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,2,6,6,3,5,6,5,4,5,2,2,5,5
"16",16,1,2,5,NA,NA,NA,1,NA,NA,NA,1,10,1,1,1,2,1,1,NA,NA,NA,NA,1,1,1,1,2,2,1,6,1,6,1,1,2,5,1,1,1,3,3
"17",17,1,1,2,NA,NA,NA,NA,NA,NA,1,1,5,3,3,2,2,1,NA,1,1,1,1,1,NA,1,1,2,1,1,6,3,4,3,1,1,3,3,1,3,4,4
"18",18,1,2,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,2,4,2,1,6,6,5,4,1,1,4,4,1,1,6,5
"19",19,1,1,1,NA,NA,1,NA,1,1,NA,6,20,1,3,2,1,1,1,NA,1,1,NA,NA,NA,1,1,2,1,2,6,6,5,3,5,3,5,4,1,1,4,4
"20",20,1,2,1,NA,NA,NA,NA,NA,NA,1,1,10,2,2,3,1,1,1,NA,NA,1,NA,1,NA,1,2,4,3,1,6,2,4,2,1,1,6,1,1,1,5,5
"21",21,0,1,1,NA,NA,NA,NA,1,NA,NA,1,5,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,2,2,1,2,4,3,1,1,2,4,2,1,4,4,5,5
"22",22,1,1,1,NA,NA,NA,1,NA,NA,NA,1,4,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,1,2,6,5,5,1,4,2,5,2,1,1,5,4
"23",23,1,2,2,NA,NA,NA,NA,NA,NA,1,1,20,3,3,2,1,1,1,1,1,1,NA,1,NA,1,2,4,2,1,6,2,5,1,5,2,4,1,3,1,5,3
"24",25,1,1,1,NA,NA,NA,NA,1,NA,NA,1,8,3,1,1,1,1,1,1,1,NA,NA,1,1,1,2,3,1,1,5,4,4,5,1,3,2,4,5,4,4,3
"25",27,1,1,1,NA,1,NA,NA,NA,NA,NA,1,6,1,1,1,1,1,1,NA,1,NA,NA,1,NA,2,2,2,1,3,5,3,4,6,5,5,3,6,3,4,3,5
"26",28,1,2,1,NA,NA,NA,NA,1,NA,NA,1,4,1,1,1,2,NA,1,NA,NA,NA,NA,1,NA,2,2,1,3,3,5,2,4,4,1,1,4,4,4,4,2,4
"27",29,1,2,1,NA,NA,NA,NA,NA,NA,1,1,10,3,1,1,1,1,1,1,1,NA,NA,1,NA,2,2,1,2,2,6,1,4,1,3,1,6,1,4,2,3,5
"28",30,0,1,1,NA,NA,NA,NA,1,NA,NA,1,7,2,1,1,1,NA,1,1,1,1,NA,NA,NA,1,2,4,1,1,6,1,3,3,1,3,5,1,5,2,6,4
"29",31,0,2,6,NA,NA,NA,NA,NA,NA,1,1,4,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,1,4,4,3,6,2,3,2,5,5,4,2,3,4,4,2
"30",32,1,1,2,NA,NA,NA,NA,NA,1,NA,1,4,1,1,2,1,NA,1,1,NA,1,1,1,NA,1,1,4,1,1,6,1,6,2,1,2,6,2,1,1,2,3
"31",33,0,3,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,2,NA,1,NA,1,NA,NA,NA,NA,2,2,1,1,2,4,6,3,5,6,5,3,5,5,6,5,6
"32",34,0,2,1,NA,NA,NA,NA,NA,NA,1,2,7,2,1,1,1,1,1,1,1,1,NA,NA,NA,2,2,2,2,1,6,3,3,2,2,1,2,2,3,2,3,4
"33",35,1,2,1,NA,NA,NA,NA,1,NA,1,1,7,1,1,1,2,NA,1,NA,NA,NA,NA,NA,1,1,1,2,5,1,6,1,6,1,1,1,4,1,4,1,5,4
"34",36,1,3,1,NA,NA,NA,NA,NA,NA,1,1,3,2,1,2,1,1,1,1,1,NA,NA,1,NA,1,2,1,1,1,6,2,5,2,1,5,4,1,5,4,4,5
"35",37,1,1,1,NA,NA,NA,NA,NA,NA,1,1,7,1,2,1,1,1,1,1,NA,1,NA,1,NA,1,1,3,1,1,6,1,6,3,1,2,5,1,2,1,1,4
"36",38,0,1,1,1,NA,NA,NA,NA,NA,NA,1,12,3,1,2,1,1,1,1,1,NA,NA,1,NA,1,2,3,1,2,5,5,3,3,3,5,5,4,3,3,3,5
"37",65,0,1,1,NA,NA,NA,NA,1,NA,NA,1,5,1,1,1,1,1,1,1,1,NA,NA,1,NA,2,1,3,1,3,3,5,4,5,2,5,3,5,3,4,2,5
"38",66,1,1,1,NA,NA,NA,NA,1,NA,NA,1,5,1,1,1,1,1,NA,1,1,NA,NA,NA,1,2,2,4,1,3,6,4,5,2,1,1,5,1,1,2,2,5
"39",67,1,3,1,NA,NA,NA,1,1,NA,NA,1,5,2,1,1,1,1,NA,NA,NA,1,NA,NA,NA,2,2,1,1,1,5,3,5,6,2,6,5,6,2,6,5,5
"40",68,1,3,1,NA,NA,NA,NA,1,NA,NA,1,6,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,2,2,1,1,2,5,4,4,4,1,1,4,4,4,3,4,4
"41",69,1,3,1,NA,NA,NA,NA,1,NA,NA,1,10,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,2,1,1,3,4,3,4,6,2,4,4,6,3,2,3,5
"42",70,1,2,1,NA,NA,NA,NA,1,NA,NA,1,7,1,1,1,1,1,1,1,1,1,NA,NA,NA,2,1,3,2,1,6,3,6,1,1,2,3,1,1,1,1,4
"43",71,1,2,1,NA,NA,NA,NA,1,NA,NA,1,14,3,1,1,1,1,1,1,1,NA,NA,NA,NA,1,2,2,2,3,6,3,5,1,1,1,6,1,5,1,5,4
"44",72,1,1,1,NA,NA,NA,NA,1,NA,NA,1,3,2,2,2,1,NA,1,NA,1,NA,NA,1,NA,2,2,3,1,1,4,5,5,3,6,5,6,6,3,1,5,6
"45",73,1,1,1,1,NA,NA,NA,NA,NA,NA,1,3,1,1,2,1,1,1,1,1,NA,NA,1,NA,1,2,4,1,3,6,5,5,6,5,4,4,5,5,2,3,4
"46",75,1,1,1,1,NA,NA,NA,NA,NA,NA,1,10,2,1,1,1,1,NA,1,1,1,NA,1,NA,1,2,2,1,3,5,4,4,6,2,4,3,6,4,2,4,4
"47",76,1,1,6,1,NA,NA,NA,1,NA,NA,1,7,1,1,1,1,NA,1,1,1,NA,NA,1,NA,1,2,2,1,2,5,4,4,6,5,6,4,6,6,6,5,6
"48",77,1,1,1,NA,NA,NA,NA,1,NA,NA,1,6,3,1,2,1,1,1,1,1,1,NA,1,NA,2,2,5,1,2,5,4,5,4,1,3,3,4,1,2,3,3
"49",78,1,1,6,NA,NA,1,NA,NA,NA,NA,1,20,1,2,2,1,1,NA,1,NA,1,NA,1,NA,1,2,2,1,1,6,1,6,4,1,4,4,3,2,1,4,3
"50",79,1,2,1,NA,NA,NA,1,NA,NA,NA,1,5,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,1,3,2,1,6,3,4,3,4,3,3,1,5,3,1,5
"51",80,1,3,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,2,1,1,NA,1,NA,NA,NA,NA,NA,2,2,1,1,1,6,2,6,2,1,1,6,2,1,1,1,1
"52",81,1,1,1,NA,NA,NA,NA,1,NA,NA,1,5,2,1,1,1,1,1,1,1,NA,NA,1,NA,2,2,3,1,2,4,5,4,6,3,5,4,6,4,6,5,6
"53",82,1,1,1,1,NA,NA,NA,1,NA,NA,3,7,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,3,1,3,5,4,5,6,1,2,3,6,6,1,3,5
"54",83,1,2,1,1,NA,NA,NA,1,NA,NA,1,6,3,1,1,1,1,1,1,NA,NA,NA,1,NA,2,2,3,2,1,6,4,6,4,1,3,5,4,2,1,2,2
"55",84,1,3,1,1,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,1,3,6,NA,5,6,1,4,NA,3,NA,4,NA,NA
"56",85,1,1,6,NA,NA,1,NA,NA,1,NA,1,6,3,3,3,1,1,1,1,1,NA,NA,1,NA,2,1,2,1,1,6,1,5,2,1,1,4,1,2,2,3,3
"57",86,1,1,6,NA,NA,NA,NA,1,NA,NA,1,3,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,2,1,2,5,5,4,6,6,6,6,6,4,3,6,4
"58",87,0,1,1,1,NA,NA,NA,1,NA,NA,1,9,3,1,1,1,1,1,1,NA,NA,1,1,NA,1,2,3,1,3,5,2,3,6,3,5,3,6,2,2,4,3
"59",88,1,2,2,NA,NA,NA,NA,NA,NA,1,1,8,2,3,3,1,1,1,1,1,1,1,1,NA,1,1,5,4,1,6,1,4,3,4,1,6,1,2,1,5,1
"60",89,0,3,1,1,NA,NA,NA,1,NA,NA,1,11,1,1,1,1,1,1,1,1,1,NA,1,NA,2,2,1,1,2,4,4,3,4,2,2,3,4,4,4,4,4
"61",90,1,1,1,NA,1,NA,NA,NA,NA,NA,6,11,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,2,2,1,3,5,5,5,6,3,2,4,6,4,1,4,4
"62",91,1,1,6,1,NA,NA,NA,NA,NA,NA,1,13,3,1,1,1,1,1,1,1,1,NA,1,NA,1,2,3,1,3,6,5,5,4,1,2,5,5,2,1,3,2
